Section[0.000000000000000-0.002000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.264000000000000-0.266000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.266000000000000-0.268000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.268000000000000-0.270000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.270000000000000-0.272000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.272000000000000-0.274000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.274000000000000-0.276000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.276000000000000-0.278000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.278000000000000-0.280000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.280000000000000-0.282000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.282000000000000-0.284000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.284000000000000-0.286000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.286000000000000-0.288000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.288000000000000-0.290000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.290000000000000-0.292000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.292000000000000-0.294000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.294000000000000-0.296000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.296000000000000-0.298000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.298000000000000-0.300000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.300000000000000-0.302000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.302000000000000-0.304000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.304000000000000-0.306000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.306000000000000-0.308000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.308000000000000-0.310000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.310000000000000-0.312000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.312000000000000-0.314000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.314000000000000-0.316000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.316000000000000-0.318000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.318000000000000-0.320000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.320000000000000-0.322000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.322000000000000-0.324000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.324000000000000-0.326000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.326000000000000-0.328000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.328000000000000-0.330000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.330000000000000-0.332000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.332000000000000-0.334000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.334000000000000-0.336000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.336000000000000-0.338000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.338000000000000-0.340000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.340000000000000-0.342000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.342000000000000-0.344000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.344000000000000-0.346000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.346000000000000-0.348000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.348000000000000-0.350000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.350000000000000-0.352000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.352000000000000-0.354000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.354000000000000-0.356000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.356000000000000-0.358000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.358000000000000-0.360000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.360000000000000-0.362000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.362000000000000-0.364000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.364000000000000-0.366000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.366000000000000-0.368000000000000]: The number of random numbers is 3, The probability is 0.030000000000000
Section[0.368000000000000-0.370000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.370000000000000-0.372000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.372000000000000-0.374000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.374000000000000-0.376000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.376000000000000-0.378000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.378000000000000-0.380000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.380000000000000-0.382000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.382000000000000-0.384000000000000]: The number of random numbers is 3, The probability is 0.030000000000000
Section[0.384000000000000-0.386000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.386000000000000-0.388000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.388000000000000-0.390000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.390000000000000-0.392000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.392000000000000-0.394000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.394000000000000-0.396000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.396000000000000-0.398000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.398000000000000-0.400000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.400000000000000-0.402000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.402000000000000-0.404000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.404000000000000-0.406000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.406000000000000-0.408000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.408000000000000-0.410000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.410000000000000-0.412000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.412000000000000-0.414000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.414000000000000-0.416000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.416000000000000-0.418000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.418000000000000-0.420000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.420000000000000-0.422000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.422000000000000-0.424000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.424000000000000-0.426000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.426000000000000-0.428000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.428000000000000-0.430000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.430000000000000-0.432000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.432000000000000-0.434000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.434000000000000-0.436000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.436000000000000-0.438000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.438000000000000-0.440000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.440000000000000-0.442000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.442000000000000-0.444000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.444000000000000-0.446000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.446000000000000-0.448000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.448000000000000-0.450000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.450000000000000-0.452000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.452000000000000-0.454000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.454000000000000-0.456000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.456000000000000-0.458000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.458000000000000-0.460000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.460000000000000-0.462000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.462000000000000-0.464000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.464000000000000-0.466000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.466000000000000-0.468000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.468000000000000-0.470000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.470000000000000-0.472000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.472000000000000-0.474000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.474000000000000-0.476000000000000]: The number of random numbers is 3, The probability is 0.030000000000000
Section[0.476000000000000-0.478000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.478000000000000-0.480000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.480000000000000-0.482000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.482000000000000-0.484000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.484000000000000-0.486000000000000]: The number of random numbers is 4, The probability is 0.040000000000000
Section[0.486000000000000-0.488000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.488000000000000-0.490000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.490000000000000-0.492000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.492000000000000-0.494000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.494000000000000-0.496000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.496000000000000-0.498000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.498000000000000-0.500000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.500000000000000-0.502000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.502000000000000-0.504000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.504000000000000-0.506000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.506000000000000-0.508000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.508000000000000-0.510000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.510000000000000-0.512000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.512000000000000-0.514000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.514000000000000-0.516000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.516000000000000-0.518000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.518000000000000-0.520000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.520000000000000-0.522000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.522000000000000-0.524000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.524000000000000-0.526000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.526000000000000-0.528000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.528000000000000-0.530000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.530000000000000-0.532000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.532000000000000-0.534000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.534000000000000-0.536000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.536000000000000-0.538000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.538000000000000-0.540000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.540000000000000-0.542000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.542000000000000-0.544000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.544000000000000-0.546000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.546000000000000-0.548000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.548000000000000-0.550000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.550000000000000-0.552000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.552000000000000-0.554000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.554000000000000-0.556000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.556000000000000-0.558000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.558000000000000-0.560000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.560000000000000-0.562000000000000]: The number of random numbers is 2, The probability is 0.020000000000000
Section[0.562000000000000-0.564000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.564000000000000-0.566000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.566000000000000-0.568000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.568000000000000-0.570000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.570000000000000-0.572000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.572000000000000-0.574000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.574000000000000-0.576000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.576000000000000-0.578000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.578000000000000-0.580000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.580000000000000-0.582000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.582000000000000-0.584000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.584000000000000-0.586000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.586000000000000-0.588000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.588000000000000-0.590000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.590000000000000-0.592000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.592000000000000-0.594000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.594000000000000-0.596000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.596000000000000-0.598000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.598000000000000-0.600000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.600000000000000-0.602000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.602000000000000-0.604000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.604000000000000-0.606000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.606000000000000-0.608000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.608000000000000-0.610000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.610000000000000-0.612000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.612000000000000-0.614000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.614000000000000-0.616000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.616000000000000-0.618000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.618000000000000-0.620000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.620000000000000-0.622000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.622000000000000-0.624000000000000]: The number of random numbers is 1, The probability is 0.010000000000000
Section[0.624000000000000-0.626000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.626000000000000-0.628000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.628000000000000-0.630000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.630000000000000-0.632000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
Section[0.632000000000000-0.634000000000000]: The number of random numbers is 0, The probability is 0.000000000000000
